Daily_demand,Demand,Diesel_engines,Fuel_oil_gas,Gas_turbine,Generation,Non_renewable_waste,Peak_Load,Renewable_waste,Solar_PV,date
,,,,,,,,,,"2019,02,30"
,,,,,,,,,,"2019,02,29"
-,571,536,536,0,571,17,31 (22h),17,0,"2019,02,28"
-,571,533,533,0,571,18,31 (22h),18,0,"2019,02,27"
-,578,541,541,0,578,19,32 (22h),19,0,"2019,02,26"
-,573,537,537,0,573,18,31 (22h),18,0,"2019,02,25"
-,518,482,482,0,518,18,29 (22h),18,0,"2019,02,24"
-,536,500,500,0,536,18,29 (22h),18,0,"2019,02,23"
-,570,535,535,0,570,18,29 (22h),18,0,"2019,02,22"
-,587,551,551,0,587,18,32 (21h),18,0,"2019,02,21"
-,583,545,545,0,583,19,32 (21h),19,0,"2019,02,20"
-,561,521,521,0,561,20,31 (21h),20,0,"2019,02,18"
-,477,438,438,0,477,19,27 (21h),19,0,"2019,02,17"
-,506,469,469,0,506,19,27 (22h),19,0,"2019,02,16"
-,589,567,567,0,589,11,30 (21h),11,0,"2019,02,15"
-,596,570,570,0,596,13,33 (21h),13,0,"2019,02,14"
-,587,553,553,0,587,17,32 (21h),17,0,"2019,02,13"
-,581,544,544,1,581,18,32 (22h),18,0,"2019,02,12"
-,570,534,534,0,570,18,31 (22h),18,0,"2019,02,11"
-,543,509,509,0,543,17,31 (21h),17,0,"2019,02,10"
-,556,522,522,0,556,17,30 (22h),17,0,"2019,02,09"
-,598,562,562,0,598,18,31 (21h),18,0,"2019,02,08"
-,610,573,573,0,610,18,33 (22h),18,0,"2019,02,07"
-,616,582,582,0,616,17,34 (22h),17,0,"2019,02,06"
-,616,579,579,0,616,18,34 (22h),18,0,"2019,02,05"
-,602,566,566,0,602,18,33 (22h),18,0,"2019,02,04"
-,555,521,521,0,555,17,31 (21h),17,0,"2019,02,03"
-,545,515,515,0,545,15,30 (22h),15,0,"2019,02,02"
-,597,561,561,0,597,18,31 (21h),18,0,"2019,02,01"
-,589,555,555,0,589,17,32 (22h),17,0,"2019,01,31"
-,610,578,578,0,610,16,33 (22h),16,0,"2019,01,30"
-,599,567,567,0,599,16,32 (22h),16,0,"2019,01,29"
-,597,564,564,0,597,17,33 (21h),17,0,"2019,01,28"
-,530,497,497,0,530,16,30 (22h),16,0,"2019,01,27"
-,553,519,519,0,553,17,29 (22h),17,0,"2019,01,26"
-,591,556,556,0,591,18,30 (21h),18,0,"2019,01,25"
-,617,583,583,0,617,17,33 (21h),17,0,"2019,01,24"
-,648,614,615,1,648,16,36 (21h),16,0,"2019,01,22"
-,622,588,588,0,622,17,34 (21h),17,0,"2019,01,21"
-,637,603,603,0,637,17,34 (21h),17,0,"2019,01,23"
-,569,534,534,0,569,17,32 (22h),17,0,"2019,01,20"
-,599,564,564,0,599,18,32 (22h),18,0,"2019,01,19"
-,626,588,588,0,626,19,33 (22h),19,0,"2019,01,18"
-,641,603,603,0,641,19,35 (22h),19,0,"2019,01,17"
-,633,598,598,0,633,18,35 (22h),18,0,"2019,01,16"
-,619,582,582,0,619,18,34 (22h),18,0,"2019,01,15"
-,636,598,598,0,636,19,35 (22h),19,0,"2019,01,14"
-,588,552,552,0,588,18,35 (22h),18,0,"2019,01,13"
-,595,558,558,0,595,18,33 (22h),18,0,"2019,01,12"
-,618,581,581,0,618,19,33 (22h),19,0,"2019,01,11"
-,632,595,595,0,632,18,35 (22h),18,0,"2019,01,10"
-,640,603,603,0,640,19,35 (22h),19,0,"2019,01,09"
-,629,592,592,0,629,18,35 (22h),18,0,"2019,01,08"
-,570,534,534,0,570,18,33 (22h),18,0,"2019,01,07"
-,535,500,500,0,535,17,29 (22h),17,0,"2019,01,06"
-,562,524,524,0,562,19,29 (22h),19,0,"2019,01,05"
-,583,546,546,0,583,18,30 (22h),18,0,"2019,01,04"
-,579,542,542,0,579,19,30 (22h),19,0,"2019,01,03"
-,572,536,536,0,572,18,30 (22h),18,0,"2019,01,02"
-,510,472,472,0,510,19,28 (22h),19,0,"2019,01,01"
-,555,517,517,0,555,19,31 (20h),19,0,"2018,12,31"
-,528,492,492,0,528,18,28 (21h),18,0,"2018,12,30"
-,543,505,505,0,543,19,29 (22h),19,0,"2018,12,29"
-,579,540,540,0,579,19,29 (21h),19,0,"2018,12,28"
-,583,543,543,0,583,20,30 (22h),20,0,"2018,12,27"
-,577,540,540,0,577,18,30 (22h),18,0,"2018,12,26"
-,521,482,482,0,521,20,28 (22h),20,0,"2018,12,25"
-,568,526,526,0,568,21,30 (20h),21,0,"2018,12,24"
-,532,492,492,0,532,20,29 (22h),20,0,"2018,12,23"
-,540,500,500,0,540,19,28 (22h),19,0,"2018,12,22"
-,570,533,533,0,570,18,29 (21h),18,0,"2018,12,21"
-,569,530,530,0,569,20,31 (21h),20,0,"2019,02,19"
-,584,545,545,0,584,19,30 (22h),19,0,"2018,12,20"
